,approach,brier,fold,log
426,Camargo,0.2385372725310412,1,env_permit
427,Camargo,0.2336852073891986,2,env_permit
428,Camargo,0.20168974214327176,3,env_permit
429,Camargo,0.2186735281824821,4,env_permit
430,Camargo,0.2650717472617234,0,helpdesk
431,Camargo,0.2691264777923327,1,helpdesk
432,Camargo,0.2666787829466104,2,helpdesk
433,Camargo,0.28529867785366586,3,helpdesk
434,Camargo,0.25782776173627964,4,helpdesk
435,Camargo,0.22646842153605426,0,bpi_challenge_2012_o
436,Camargo,0.2196141148030945,1,bpi_challenge_2012_o
437,Camargo,0.22376740751642715,2,bpi_challenge_2012_o
438,Camargo,0.2126212364228078,3,bpi_challenge_2012_o
439,Camargo,0.2381944870718164,4,bpi_challenge_2012_o
440,Camargo,0.5936989791043821,0,bpi_challenge_2013_closed_problems
441,Camargo,0.5795537870085422,1,bpi_challenge_2013_closed_problems
442,Camargo,0.6060282090893827,2,bpi_challenge_2013_closed_problems
443,Camargo,0.566825791557923,3,bpi_challenge_2013_closed_problems
444,Camargo,0.5602556749710393,4,bpi_challenge_2013_closed_problems
445,Camargo,0.30490402545915873,0,bpi_challenge_2012_complete
446,Camargo,0.2999636867091925,1,bpi_challenge_2012_complete
447,Camargo,0.295413508552532,2,bpi_challenge_2012_complete
448,Camargo,0.30921605798733176,3,bpi_challenge_2012_complete
449,Camargo,0.3025264890884289,4,bpi_challenge_2012_complete
450,Camargo,0.28109015402902504,0,bpi_challenge_2012_a
451,Camargo,0.2731492460064617,1,bpi_challenge_2012_a
452,Camargo,0.2796908116266964,2,bpi_challenge_2012_a
453,Camargo,0.2685569013141757,3,bpi_challenge_2012_a
454,Camargo,0.2804516618784226,4,bpi_challenge_2012_a
455,Camargo,0.4837972329788783,0,bpi_challenge_2012_w_complete
456,Camargo,0.5130897006501787,1,bpi_challenge_2012_w_complete
457,Camargo,0.3856506038478881,2,bpi_challenge_2012_w_complete
458,Camargo,0.4340826923492873,3,bpi_challenge_2012_w_complete
459,Camargo,0.3922346564394977,4,bpi_challenge_2012_w_complete
460,Camargo,0.4499221293225665,0,bpi_challenge_2013_incidents
461,Camargo,0.4520710734345564,1,bpi_challenge_2013_incidents
462,Camargo,0.44506007840398104,2,bpi_challenge_2013_incidents
463,Camargo,0.4470400057006966,3,bpi_challenge_2013_incidents
464,Camargo,0.4433586558422031,4,bpi_challenge_2013_incidents
465,Camargo,0.22532250451411576,0,bpi_challenge_2012
466,Camargo,0.2153713067308805,1,bpi_challenge_2012
467,Camargo,0.20698488678630467,2,bpi_challenge_2012
